ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2006-08-11,323.0477998334876,412.35661052904413,638.2041827534923,323.0477998334876,323.0477998334876,203.87295576757316,203.87295576757316,203.87295576757316,195.02782646400001,195.02782646400001,195.02782646400001,1.5105371965317527,1.5105371965317527,1.5105371965317527,7.334592107041395,7.334592107041395,7.334592107041395,0.0,0.0,0.0,526.9207556010608
2006-08-12,322.9910098249321,412.68849357288883,638.1217872931454,322.9910098249321,322.9910098249321,204.32635062435634,204.32635062435634,204.32635062435634,195.02782646400001,195.02782646400001,195.02782646400001,1.4397535219683268,1.4397535219683268,1.4397535219683268,7.858770638388013,7.858770638388013,7.858770638388013,0.0,0.0,0.0,527.3173604492885
2006-09-01,321.85520965382244,409.7112268743902,637.8993476502624,321.85520965382244,321.85520965382244,202.20015928508292,202.20015928508292,202.20015928508292,195.02782646400001,195.02782646400001,195.02782646400001,1.510537196497496,1.510537196497496,1.510537196497496,5.6617956245854115,5.6617956245854115,5.6617956245854115,0.0,0.0,0.0,524.0553689389053
2006-09-02,321.79841964526696,418.09312126285295,634.4548722200486,321.79841964526696,321.79841964526696,201.75091313208333,201.75091313208333,201.75091313208333,195.02782646400001,195.02782646400001,195.02782646400001,1.4397535219500288,1.4397535219500288,1.4397535219500288,5.283333146133283,5.283333146133283,5.283333146133283,0.0,0.0,0.0,523.5493327773503
2006-09-03,321.7416296367115,407.3452556269217,625.9299649995696,321.7416296367115,321.7416296367115,193.63920877719715,193.63920877719715,193.63920877719715,195.02782646400001,195.02782646400001,195.02782646400001,-6.365411841306005,-6.365411841306005,-6.365411841306005,4.976794154503155,4.976794154503155,4.976794154503155,0.0,0.0,0.0,515.3808384139086
2006-09-04,321.684839628156,421.67444777811454,643.1322817262882,321.684839628156,321.684839628156,208.65750831903767,208.65750831903767,208.65750831903767,195.02782646400001,195.02782646400001,195.02782646400001,8.874583235168332,8.874583235168332,8.874583235168332,4.755098619869326,4.755098619869326,4.755098619869326,0.0,0.0,0.0,530.3423479471937
2006-09-05,321.6280496196005,402.9203813271272,625.3226103225325,321.6280496196005,321.6280496196005,191.62057926121057,191.62057926121057,191.62057926121057,195.02782646400001,195.02782646400001,195.02782646400001,-8.036205421677526,-8.036205421677526,-8.036205421677526,4.628958218888088,4.628958218888088,4.628958218888088,0.0,0.0,0.0,513.2486288808111
2006-09-06,321.57125961104504,413.53784882138785,638.6902277653726,321.57125961104504,321.57125961104504,201.76757894027045,201.76757894027045,201.76757894027045,195.02782646400001,195.02782646400001,195.02782646400001,2.133249505929517,2.133249505929517,2.133249505929517,4.60650297034093,4.60650297034093,4.60650297034093,0.0,0.0,0.0,523.3388385513155
2006-09-07,321.51446960248956,411.9639120878896,641.6899177878993,321.51446960248956,321.51446960248956,200.16429813566376,200.16429813566376,200.16429813566376,195.02782646400001,195.02782646400001,195.02782646400001,0.44349380337347627,0.44349380337347627,0.44349380337347627,4.692977868290299,4.692977868290299,4.692977868290299,0.0,0.0,0.0,521.6787677381533
2006-09-08,321.4576795939341,413.6780091191493,632.7629877852937,321.4576795939341,321.4576795939341,201.42888418140024,201.42888418140024,201.42888418140024,195.02782646400001,195.02782646400001,195.02782646400001,1.5105371965410541,1.5105371965410541,1.5105371965410541,4.89052052085919,4.89052052085919,4.89052052085919,0.0,0.0,0.0,522.8865637753343
2006-09-09,321.4008895853786,420.4655487405219,636.3663001728979,321.4008895853786,321.4008895853786,201.66560852246974,201.66560852246974,201.66560852246974,195.02782646400001,195.02782646400001,195.02782646400001,1.4397535219624769,1.4397535219624769,1.4397535219624769,5.198028536507249,5.198028536507249,5.198028536507249,0.0,0.0,0.0,523.0664981078484
2006-09-10,321.3440995789529,400.16768017619324,629.77553930392,321.3440995789529,321.3440995789529,194.27353743832447,194.27353743832447,194.27353743832447,195.02782646400001,195.02782646400001,195.02782646400001,-6.365411841308563,-6.365411841308563,-6.365411841308563,5.611122815633045,5.611122815633045,5.611122815633045,0.0,0.0,0.0,515.6176370172774
2006-09-11,321.28730957252725,411.5012102204157,642.9801278927112,321.28730957252725,321.28730957252725,210.02461977699826,210.02461977699826,210.02461977699826,195.02782646400001,195.02782646400001,195.02782646400001,8.874583235168805,8.874583235168805,8.874583235168805,6.122210077829478,6.122210077829478,6.122210077829478,0.0,0.0,0.0,531.3119293495255
2006-09-12,321.23051956610163,397.1408683116546,626.6960294774958,321.23051956610163,321.23051956610163,193.7122660091531,193.7122660091531,193.7122660091531,195.02782646400001,195.02782646400001,195.02782646400001,-8.036205421677007,-8.036205421677007,-8.036205421677007,6.720644966830092,6.720644966830092,6.720644966830092,0.0,0.0,0.0,514.9427855752547
2006-10-01,320.1515094440143,411.55348158386755,626.1675607614039,320.1515094440143,320.1515094440143,201.6294439225282,201.6294439225282,201.6294439225282,195.02782646400001,195.02782646400001,195.02782646400001,-6.365411841299624,-6.365411841299624,-6.365411841299624,12.967029299827814,12.967029299827814,12.967029299827814,0.0,0.0,0.0,521.7809533665425
2006-10-02,320.0947194375887,426.47868382996785,649.6261067783414,320.0947194375887,320.0947194375887,216.29004072008567,216.29004072008567,216.29004072008567,195.02782646400001,195.02782646400001,195.02782646400001,8.874583235167131,8.874583235167131,8.874583235167131,12.387631020918523,12.387631020918523,12.387631020918523,0.0,0.0,0.0,536.3847601576744
2006-10-03,320.03792943116304,406.31430640072745,627.6200858781336,320.03792943116304,320.03792943116304,198.75819929457458,198.75819929457458,198.75819929457458,195.02782646400001,195.02782646400001,195.02782646400001,-8.036205421656987,-8.036205421656987,-8.036205421656987,11.766578252231586,11.766578252231586,11.766578252231586,0.0,0.0,0.0,518.7961287257376
2006-10-04,319.9811394247374,417.58387878441886,639.7058215195651,319.9811394247374,319.9811394247374,208.28851375960596,208.28851375960596,208.28851375960596,195.02782646400001,195.02782646400001,195.02782646400001,2.133249505935875,2.133249505935875,2.133249505935875,11.127437789670083,11.127437789670083,11.127437789670083,0.0,0.0,0.0,528.2696531843434
2006-10-05,319.92434941831175,410.56009267667577,630.017879332492,319.92434941831175,319.92434941831175,205.9662796029701,205.9662796029701,205.9662796029701,195.02782646400001,195.02782646400001,195.02782646400001,0.44349380331773236,0.44349380331773236,0.44349380331773236,10.494959335652382,10.494959335652382,10.494959335652382,0.0,0.0,0.0,525.8906290212818
2006-10-06,319.86755941188613,413.43109990928394,635.3391670077725,319.86755941188613,319.86755941188613,206.43269579225017,206.43269579225017,206.43269579225017,195.02782646400001,195.02782646400001,195.02782646400001,1.5105371965413676,1.5105371965413676,1.5105371965413676,9.894332131708817,9.894332131708817,9.894332131708817,0.0,0.0,0.0,526.3002552041363
2006-10-07,319.81076940546046,419.7145229414502,639.7072652700228,319.81076940546046,319.81076940546046,205.81798725747376,205.81798725747376,205.81798725747376,195.02782646400001,195.02782646400001,195.02782646400001,1.4397535220027848,1.4397535220027848,1.4397535220027848,9.350407271470987,9.350407271470987,9.350407271470987,0.0,0.0,0.0,525.6287566629342
2006-10-08,319.7539793990348,397.80028297686545,624.1163256152266,319.7539793990348,319.7539793990348,197.54932256880426,197.54932256880426,197.54932256880426,195.02782646400001,195.02782646400001,195.02782646400001,-6.3654118413021825,-6.3654118413021825,-6.3654118413021825,8.886907946106424,8.886907946106424,8.886907946106424,0.0,0.0,0.0,517.303301967839
2006-10-09,319.6971893926092,414.941582406424,646.035338753996,319.6971893926092,319.6971893926092,212.42806043307064,212.42806043307064,212.42806043307064,195.02782646400001,195.02782646400001,195.02782646400001,8.874583235167606,8.874583235167606,8.874583235167606,8.52565073390306,8.52565073390306,8.52565073390306,0.0,0.0,0.0,532.1252498256798
2006-10-10,319.6403993861835,400.0118389741744,631.0056275068638,319.6403993861835,319.6403993861835,195.2774222869788,195.2774222869788,195.2774222869788,195.02782646400001,195.02782646400001,195.02782646400001,-8.036205421647235,-8.036205421647235,-8.036205421647235,8.285801244626057,8.285801244626057,8.285801244626057,0.0,0.0,0.0,514.9178216731623
2006-10-11,319.5836093797579,417.5986774468471,635.4220156531071,319.5836093797579,319.5836093797579,205.3442629206435,205.3442629206435,205.3442629206435,195.02782646400001,195.02782646400001,195.02782646400001,2.1332495059587573,2.1332495059587573,2.1332495059587573,8.183186950684757,8.183186950684757,8.183186950684757,0.0,0.0,0.0,524.9278723004014
2006-10-12,319.5268193733323,410.0261069084216,639.7390877527506,319.5268193733323,319.5268193733323,203.7010091497462,203.7010091497462,203.7010091497462,195.02782646400001,195.02782646400001,195.02782646400001,0.4434938033315173,0.4434938033315173,0.4434938033315173,8.229688882414695,8.229688882414695,8.229688882414695,0.0,0.0,0.0,523.2278285230784
2006-11-01,318.3910192448193,419.26868256287236,651.2330383679148,318.3910192448193,318.3910192448193,217.14956080835515,217.14956080835515,217.14956080835515,195.02782646400001,195.02782646400001,195.02782646400001,2.1332495059351877,2.1332495059351877,2.1332495059351877,19.988484838419986,19.988484838419986,19.988484838419986,0.0,0.0,0.0,535.5405800531744
2006-11-02,318.3342292383937,424.2579647681155,653.4448619744518,318.3342292383937,318.3342292383937,214.53283785506255,214.53283785506255,214.53283785506255,195.02782646400001,195.02782646400001,195.02782646400001,0.4434938033174306,0.4434938033174306,0.4434938033174306,19.061517587745143,19.061517587745143,19.061517587745143,0.0,0.0,0.0,532.8670670934562
2006-11-03,318.277439231968,425.69640847742517,639.1373031217297,318.277439231968,318.277439231968,214.38792029045192,214.38792029045192,214.38792029045192,195.02782646400001,195.02782646400001,195.02782646400001,1.5105371965016838,1.5105371965016838,1.5105371965016838,17.84955662995025,17.84955662995025,17.84955662995025,0.0,0.0,0.0,532.66535952242
2006-11-04,318.22064922554233,417.0119625895753,646.9650311492528,318.22064922554233,318.22064922554233,212.82981331391824,212.82981331391824,212.82981331391824,195.02782646400001,195.02782646400001,195.02782646400001,1.439753521996936,1.439753521996936,1.439753521996936,16.362233327921285,16.362233327921285,16.362233327921285,0.0,0.0,0.0,531.0504625394606
2006-11-05,318.1638592191167,411.11688474307823,634.8056373987583,318.1638592191167,318.1638592191167,203.27865512467827,203.27865512467827,203.27865512467827,195.02782646400001,195.02782646400001,195.02782646400001,-6.365411841295801,-6.365411841295801,-6.365411841295801,14.616240501974076,14.616240501974076,14.616240501974076,0.0,0.0,0.0,521.442514343795
2006-11-06,318.10706921269104,422.62737360480565,642.8396253554876,318.10706921269104,318.10706921269104,216.53753101414407,216.53753101414407,216.53753101414407,195.02782646400001,195.02782646400001,195.02782646400001,8.874583235169816,8.874583235169816,8.874583235169816,12.635121314974255,12.635121314974255,12.635121314974255,0.0,0.0,0.0,534.6446002268351
2006-11-07,318.05027920626543,402.59534598683985,627.2994981107383,318.05027920626543,318.05027920626543,197.44049555420125,197.44049555420125,197.44049555420125,195.02782646400001,195.02782646400001,195.02782646400001,-8.036205421652937,-8.036205421652937,-8.036205421652937,10.448874511854175,10.448874511854175,10.448874511854175,0.0,0.0,0.0,515.4907747604667
2006-11-08,317.99348919983976,407.907055262555,631.2740733897004,317.99348919983976,317.99348919983976,205.25445899888726,205.25445899888726,205.25445899888726,195.02782646400001,195.02782646400001,195.02782646400001,2.1332495059651153,2.1332495059651153,2.1332495059651153,8.093383028922155,8.093383028922155,8.093383028922155,0.0,0.0,0.0,523.247948198727
